group,file,path,width,height,aspect,bucket,brightness_mean,brightness_std,saturation_mean,saturation_std,edge_density,top_edge,mid_edge,bottom_edge,top_minus_mid_edge,bottom_minus_mid_edge,dominant_1,dominant_1_pct,dominant_2,dominant_2_pct,dominant_3,dominant_3_pct,palette
其他,5d850bd91c7fbc276c58162ecc63a168.jpg,C:\Users\27504\Desktop\电影海报\其他\5d850bd91c7fbc276c58162ecc63a168.jpg,1280,1895,0.675,poster_vertical,34.21,37.34,0.347,0.18,0.0109,0.0001,0.0051,0.0277,-0.005,0.0226,#0b0e17,0.399,#18181f,0.29,#0d0f18,0.148,#0b0e17:0.40;#18181f:0.29;#0d0f18:0.15;#55534d:0.15;#0c0d16:0.02
其他,67f5f0b1edec4d7d7a0e0f6035b1492c.jpg,C:\Users\27504\Desktop\电影海报\其他\67f5f0b1edec4d7d7a0e0f6035b1492c.jpg,1280,1875,0.683,poster_vertical,143.89,48.16,0.265,0.138,0.0398,0.0434,0.0358,0.0445,0.0075,0.0087,#7f8b7a,0.271,#99b4a7,0.219,#a0c6bb,0.213,#7f8b7a:0.27;#99b4a7:0.22;#a0c6bb:0.21;#435255:0.21;#bbd1b8:0.09
其他,6e27fce6682631d8466e7f46962d4adb.jpg,C:\Users\27504\Desktop\电影海报\其他\6e27fce6682631d8466e7f46962d4adb.jpg,1280,1896,0.675,poster_vertical,149.81,72.96,0.184,0.166,0.0607,0.0475,0.0724,0.0476,-0.0249,-0.0248,#657481,0.343,#fefefe,0.225,#405162,0.216,#657481:0.34;#fefefe:0.23;#405162:0.22;#909aa3:0.15;#f6f7f7:0.06
其他,9503926255109d7124757491c5149461.jpg,C:\Users\27504\Desktop\电影海报\其他\9503926255109d7124757491c5149461.jpg,1280,1829,0.7,poster_vertical,146.49,75.11,0.071,0.078,0.0207,0.013,0.0135,0.0299,-0.0004,0.0165,#a9a6a2,0.294,#8b8683,0.227,#2a292a,0.22,#a9a6a2:0.29;#8b8683:0.23;#2a292a:0.22;#f6f6f5:0.21;#e3e3e0:0.05
其他,98238880721a1307e9e9536827cbee34.jpg,C:\Users\27504\Desktop\电影海报\其他\98238880721a1307e9e9536827cbee34.jpg,1280,1896,0.675,poster_vertical,47.26,38.98,0.088,0.048,0.0162,0.0103,0.018,0.0196,-0.0078,0.0016,#292d2c,0.272,#171817,0.191,#646663,0.188,#292d2c:0.27;#171817:0.19;#646663:0.19;#1c1e1d:0.18;#11110f:0.17
其他,a9926c26d704084249688d6966cd623b.jpg,C:\Users\27504\Desktop\电影海报\其他\a9926c26d704084249688d6966cd623b.jpg,736,1041,0.707,poster_vertical,63.32,30.12,0.797,0.173,0.0198,0.0119,0.0145,0.0431,-0.0026,0.0286,#c02513,0.382,#25150e,0.313,#9d1a0e,0.165,#c02513:0.38;#25150e:0.31;#9d1a0e:0.17;#a51f12:0.10;#bd3a28:0.04
其他,adefc7b5a4db6539deff044057f75619.jpg,C:\Users\27504\Desktop\电影海报\其他\adefc7b5a4db6539deff044057f75619.jpg,1280,1896,0.675,poster_vertical,132.2,50.66,0.516,0.131,0.0236,0.0182,0.0193,0.0386,-0.0011,0.0194,#efc19d,0.246,#d6786e,0.215,#81313e,0.197,#efc19d:0.25;#d6786e:0.22;#81313e:0.20;#b13e4a:0.17;#bf4e56:0.17
其他,ae704a4c60f8aad6e10cd19d672f2459.jpg,C:\Users\27504\Desktop\电影海报\其他\ae704a4c60f8aad6e10cd19d672f2459.jpg,897,1200,0.748,poster_vertical,196.06,59.4,0.128,0.173,0.0297,0.0209,0.0379,0.0258,-0.017,-0.0121,#d0b8b4,0.284,#ebe1e1,0.217,#fefefe,0.202,#d0b8b4:0.28;#ebe1e1:0.22;#fefefe:0.20;#8e6267:0.20;#fdfafb:0.10
其他,b0ca60e578a3d4bcedf6c7171ac735ba.jpg,C:\Users\27504\Desktop\电影海报\其他\b0ca60e578a3d4bcedf6c7171ac735ba.jpg,676,1000,0.676,poster_vertical,184.82,24.03,0.533,0.18,0.0127,0.0048,0.0128,0.0129,-0.008,0.0001,#d2c054,0.384,#c9b952,0.231,#cfbc53,0.164,#d2c054:0.38;#c9b952:0.23;#cfbc53:0.16;#ddd491:0.13;#b3ab4c:0.09
其他,b36fd5e4310ef9ee74aa805df80a8b1e.jpg,C:\Users\27504\Desktop\电影海报\其他\b36fd5e4310ef9ee74aa805df80a8b1e.jpg,1280,1895,0.675,poster_vertical,108.39,58.59,0.749,0.222,0.0601,0.0536,0.0675,0.0496,-0.0138,-0.0179,#123c21,0.333,#dec861,0.198,#914526,0.186,#123c21:0.33;#dec861:0.20;#914526:0.19;#2bca97:0.15;#858a47:0.13
